Date,Open,High,Low,Close,Volume
1972-6-1,0,14.125,14.0625,14.125,40400
1972-6-2,14.125,14.1875,14.0625,14.1875,25400
1972-6-5,14.1875,14.1875,14,14.0625,142800
1972-6-6,14.0625,14.0625,13.9375,14,63000
1972-6-7,14,14,13.8125,13.9375,48000
1972-6-8,13.9375,14,13.875,13.875,17800
1972-6-9,13.875,13.9375,13.75,13.8125,71600
1972-6-12,13.8125,13.875,13.6875,13.6875,30600
1972-6-13,13.6875,13.75,13.5625,13.625,47800
1972-6-14,13.625,13.625,13.375,13.375,49400
1972-6-15,13.5,13.6875,13.5,13.625,42400
1972-6-16,13.625,13.8125,13.625,13.6875,33800
1972-6-19,13.6875,13.6875,13.5,13.625,11400
1972-6-20,13.625,13.9375,13.5625,13.8125,27600
1972-6-21,13.8125,13.9375,13.75,13.75,36200
1972-6-22,13.75,13.9375,13.625,13.75,48400
1972-6-23,13.75,13.9375,13.625,13.625,37800
1972-6-26,13.625,13.6875,13.3125,13.5,43000
1972-6-27,13.5,13.5625,13.3125,13.375,37400
1972-6-28,13.375,13.4375,13.25,13.3125,62200
1972-6-29,13.3125,13.4375,13.25,13.4375,36200
1972-6-30,13.4375,13.4375,13.3125,13.375,27400
1972-7-3,13.375,13.625,13.3125,13.625,97200
1972-7-5,13.625,13.75,13.5625,13.6875,111000
1972-7-6,13.6875,13.875,13.625,13.75,99200
1972-7-7,13.75,13.9375,13.75,13.9375,23600
1972-7-10,13.9375,14.125,13.8125,14,41400
1972-7-11,14,14.125,13.8125,13.8125,28800
1972-7-12,13.8125,13.875,13.75,13.875,34800
1972-7-13,13.8125,13.8125,13.6875,13.8125,39800
1972-7-14,13.8125,13.8125,13.6875,13.6875,15800
1972-7-17,13.6875,13.75,13.5,13.5625,24800
1972-7-18,13.5625,13.625,13.375,13.4375,27800
1972-7-19,13.4375,13.6875,13.4375,13.5,24200
1972-7-20,13.4375,13.4375,13.1875,13.375,33800
1972-7-21,13.375,13.5,13.3125,13.4375,80800
1972-7-24,13.4375,13.4375,13.3125,13.4375,33200
1972-7-25,13.4375,13.4375,13.3125,13.4375,46000
1972-7-26,13.4375,13.4375,13.3125,13.375,65600
1972-7-27,13.375,13.4375,13.3125,13.3125,26200
1972-7-28,13.3125,13.375,13.3125,13.375,28400
1972-7-31,13.375,13.5625,13.375,13.5,37400
1972-8-1,13.5,13.5625,13.375,13.5625,49400
1972-8-2,13.5625,13.75,13.5,13.5,48600
1972-8-3,13.5,13.6875,13.5,13.625,27800
1972-8-4,13.625,13.625,13.5,13.625,36600
1972-8-7,13.625,13.6875,13.5,13.625,19600
1972-8-8,13.5625,13.5625,13.4375,13.5,23200
1972-8-9,13.5,13.5625,13.4375,13.5,24600
1972-8-10,13.5,13.5625,13.375,13.4375,31200
1972-8-11,13.4375,13.625,13.4375,13.5625,67200
1972-8-14,13.5625,13.625,13.5625,13.625,17000
1972-8-15,13.625,13.9375,13.5625,13.8125,46200
1972-8-16,13.8125,13.875,13.75,13.875,17400
1972-8-17,13.875,14.1875,13.875,14.1875,10600
1972-8-18,14.3125,15,14.3125,14.8125,44000
1972-8-21,14.8125,15.0625,14.625,14.8125,37000
1972-8-22,14.8125,15,14.8125,15,37200
1972-8-23,15,15.0625,14.9375,15,39600
1972-8-24,15,15.1875,14.875,14.875,53200
1972-8-25,14.875,14.875,14.625,14.6875,268200
1972-8-28,14.6875,14.75,14.4375,14.4375,21400
1972-8-29,14.4375,14.625,14.25,14.625,42400
1972-8-30,14.625,14.6875,14.375,14.5625,94200
1972-8-31,14.5625,14.75,14.5625,14.6875,13600
1972-9-1,14.6875,14.6875,14.5625,14.6875,20000
1972-9-5,14.6875,14.8125,14.5625,14.75,46000
1972-9-6,14.75,14.75,14.625,14.6875,20400
1972-9-7,14.6875,14.75,14.625,14.625,12000
1972-9-8,14.625,14.6875,14.625,14.6875,8200
1972-9-11,14.6875,14.6875,14.5,14.625,17800
1972-9-12,14.5625,14.5625,14.4375,14.5625,41200
1972-9-13,14.5625,14.5625,14.4375,14.4375,82800
1972-9-14,14.4375,14.4375,14.1875,14.1875,127600
1972-9-15,14.1875,14.3125,14.0625,14.25,13200
1972-9-18,14.25,14.25,14.1875,14.25,15000
1972-9-19,14.25,14.25,14.0625,14.1875,122400
1972-9-20,14.1875,14.4375,14.125,14.25,34600
1972-9-21,14.25,14.5,14.25,14.375,134600
1972-9-22,14.375,14.5625,14.375,14.5625,51800
1972-9-25,14.5625,14.8125,14.5625,14.625,19800
1972-9-26,14.625,14.8125,14.5625,14.625,20000
1972-9-27,14.625,14.9375,14.5625,14.9375,41800
1972-9-28,14.9375,14.9375,14.6875,14.875,10600
1972-9-29,14.8125,14.8125,14.625,14.6875,123800
1972-10-2,14.6875,14.8125,14.625,14.6875,11200
1972-10-3,14.6875,14.75,14.5625,14.75,15600
1972-10-4,14.75,14.75,14.5625,14.6875,15800
1972-10-5,14.6875,14.8125,14.625,14.8125,14400
1972-10-6,14.8125,14.8125,14.625,14.75,16400
1972-10-9,14.75,14.8125,14.625,14.625,10400
1972-10-10,14.625,14.6875,14.625,14.6875,11600
1972-10-11,14.6875,14.9375,14.625,14.875,19400
1972-10-12,14.875,14.9375,14.8125,14.875,50800
1972-10-13,14.875,14.9375,14.875,14.875,12800
1972-10-16,14.875,14.9375,14.8125,14.875,14400
1972-10-17,14.875,15,14.875,15,128800
1972-10-18,15,15,14.8125,14.875,26000
1972-10-19,14.875,14.9375,14.8125,14.875,143400
1972-10-20,14.875,14.9375,14.8125,14.9375,10400
1972-10-23,14.9375,15.1875,14.8125,15.1875,63000
1972-10-24,15.1875,15.1875,15,15.0625,46800
1972-10-25,15.0625,15.125,15.0625,15.0625,15000
1972-10-26,15.0625,15.25,15.0625,15.1875,37200
1972-10-27,15.4375,15.625,15.4375,15.5,43000
1972-10-30,15.625,16.125,15.625,16,78400
1972-10-31,16,16.125,16,16.0625,56000
1972-11-1,16.0625,16.125,15.8125,15.875,65800
1972-11-2,15.875,15.9375,15.6875,15.75,26800
1972-11-3,15.75,15.75,15.625,15.6875,54800
1972-11-6,15.6875,15.8125,15.5,15.5625,23600
1972-11-8,15.5625,15.75,15.5,15.5625,55000
1972-11-9,15.5,15.5,15.1875,15.3125,14400
1972-11-10,15.3125,15.375,15.125,15.25,50400
1972-11-13,15.25,15.3125,15.125,15.3125,71000
1972-11-14,15.3125,15.375,15.1875,15.375,52400
1972-11-15,15.375,15.5,15.375,15.4375,50200
1972-11-16,15.5,15.6875,15.5,15.6875,55400
1972-11-17,15.6875,15.9375,15.5,15.875,54000
1972-11-20,15.875,16.0625,15.875,16,50400
1972-11-21,16.0625,16.25,16.0625,16.1875,63000
1972-11-22,16.1875,16.3125,16.0625,16.25,23000
1972-11-24,16.25,16.3125,16.125,16.3125,31600
1972-11-27,16.3125,16.3125,16,16.0625,42200
1972-11-28,16.0625,16.1875,16.0625,16.0625,29000
1972-11-29,16.0625,16.1875,16.0625,16.1875,12400
1972-11-30,16.1875,16.1875,16,16.1875,29000
1972-12-1,16.1875,16.3125,16.125,16.3125,39400
1972-12-4,16.3125,16.3125,16.1875,16.25,17200
1972-12-5,16.25,16.3125,16.125,16.1875,31800
1972-12-6,16.1875,16.1875,15.9375,16.125,35400
1972-12-7,16.1875,16.4375,16.1875,16.375,47800
1972-12-8,16.375,16.5,16.375,16.375,28400
1972-12-11,16.375,16.4375,16.3125,16.375,40600
1972-12-12,16.375,16.5625,16.375,16.5,32200
1972-12-13,16.5625,16.6875,16.5625,16.5625,41800
1972-12-14,16.5625,16.5625,16.5,16.5,35600
1972-12-15,16.5,16.5625,16.4375,16.5,37400
1972-12-18,16.4375,16.4375,16.3125,16.3125,11600
1972-12-19,16.3125,16.375,16.1875,16.25,26800
1972-12-20,16.25,16.3125,16.0625,16.125,19400
1972-12-21,16.125,16.1875,16.0625,16.0625,40200
1972-12-22,16.0625,16.125,16,16,10800
1972-12-26,16,16.0625,15.875,16.0625,26600
1972-12-27,16.0625,16.25,16,16.0625,27200
1972-12-29,16.1875,16.5,16.1875,16.3125,83000
1973-1-2,16.3125,16.3125,16.1875,16.25,45000
1973-1-3,16.25,16.3125,16.1875,16.25,18800
1973-1-4,16.25,16.25,15.9375,16.1875,65000
1973-1-5,16.1875,16.1875,15.8125,15.8125,22600
1973-1-8,15.8125,15.8125,15.4375,15.5625,29600
1973-1-9,15.5625,15.6875,15.5,15.625,39600
1973-1-10,15.625,15.6875,15.5625,15.5625,71800
1973-1-11,15.5625,15.6875,15.5625,15.6875,33800
1973-1-12,15.6875,15.8125,15.6875,15.75,27400
1973-1-15,15.75,15.8125,15.625,15.625,31200
1973-1-16,15.625,15.6875,15.5,15.5625,80600
1973-1-17,15.5625,15.75,15.5,15.5,25000
